fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
108,bus,0.6,1,1299,232,1448,380,,0.0,0,0,0,0,
108,car,0.808,10,1432,319,1520,384,,0.0,0,0,0,0,
108,person,0.875,11,29,233,148,491,,0.0,0,0,0,0,
108,car,0.576,2,1263,313,1300,350,,0.0,0,0,0,0,
109,bus,0.668,1,1298,232,1447,378,,0.0,0,0,0,0,
109,car,0.793,10,1431,319,1520,384,,0.0,0,0,0,0,
109,person,0.881,11,34,234,159,490,,0.0,0,0,0,0,
109,car,0.54,2,1262,314,1298,349,,0.0,0,0,0,0,
110,bus,0.715,1,1298,232,1445,378,,0.0,0,0,0,0,
110,car,0.795,10,1431,319,1519,384,,0.0,0,0,0,0,
110,person,0.902,11,37,236,166,490,,0.0,0,0,0,0,
110,car,0.531,2,1261,315,1298,349,,0.0,0,0,0,0,
111,bus,0.734,1,1298,232,1443,377,,0.0,0,0,0,0,
111,car,0.791,10,1431,319,1520,384,,0.0,0,0,0,0,
111,person,0.897,11,38,238,170,489,,0.0,0,0,0,0,
111,car,0.537,2,1259,315,1299,349,,0.0,0,0,0,0,
112,bus,0.758,1,1297,232,1441,378,,0.0,0,0,0,0,
112,car,0.799,10,1429,319,1520,383,,0.0,0,0,0,0,
112,person,0.896,11,39,241,173,490,,0.0,0,0,0,0,
112,car,0.591,2,1258,315,1299,350,,0.0,0,0,0,0,
113,bus,0.716,1,1296,233,1436,377,,0.0,0,0,0,0,
113,car,0.801,10,1427,319,1520,383,,0.0,0,0,0,0,
113,person,0.896,11,44,240,174,490,,0.0,0,0,0,0,
113,car,0.616,2,1257,315,1298,350,,0.0,0,0,0,0,
114,bus,0.769,1,1295,234,1434,377,,0.0,0,0,0,0,
114,car,0.795,10,1425,319,1520,383,,0.0,0,0,0,0,
114,person,0.885,11,51,242,174,488,,0.0,0,0,0,0,
114,car,0.629,2,1257,315,1298,349,,0.0,0,0,0,0,
115,bus,0.704,1,1294,234,1432,378,,0.0,0,0,0,0,
115,car,0.783,10,1422,320,1520,383,,0.0,0,0,0,0,
115,person,0.891,11,62,241,174,486,,0.0,0,0,0,0,
115,car,0.608,2,1257,314,1297,349,,0.0,0,0,0,0,
116,bus,0.709,1,1294,234,1431,377,,0.0,0,0,0,0,
116,car,0.757,10,1421,320,1519,383,,0.0,0,0,0,0,
116,person,0.879,11,74,241,173,483,,0.0,0,0,0,0,
116,car,0.551,2,1255,314,1297,350,,0.0,0,0,0,0,
117,bus,0.806,1,1294,235,1431,378,,0.0,0,0,0,0,
117,car,0.774,10,1420,320,1519,383,,0.0,0,0,0,0,
117,person,0.831,11,88,241,172,482,,0.0,0,0,0,0,
117,car,0.538,2,1254,313,1297,350,,0.0,0,0,0,0,
118,bus,0.811,1,1293,235,1430,377,,0.0,0,0,0,0,
118,car,0.781,10,1420,320,1519,383,,0.0,0,0,0,0,
118,person,0.794,11,96,242,175,481,,0.0,0,0,0,0,
118,car,0.515,2,1253,311,1296,350,,0.0,0,0,0,0,
119,bus,0.802,1,1292,235,1429,377,,0.0,0,0,0,0,
119,car,0.751,10,1420,320,1518,383,,0.0,0,0,0,0,
119,person,0.81,11,101,241,181,480,,0.0,0,0,0,0,
119,car,0.482,2,1253,311,1296,350,,0.0,0,0,0,0,
120,bus,0.782,1,1291,236,1428,376,,0.0,0,0,0,0,
120,car,0.698,10,1419,320,1516,382,,0.0,0,0,0,0,
120,person,0.826,11,105,237,184,479,,0.0,0,0,0,0,
121,bus,0.731,1,1290,237,1426,376,,0.0,0,0,0,0,
121,car,0.662,10,1421,321,1514,382,,0.0,0,0,0,0,
121,person,0.839,11,111,237,190,478,,0.0,0,0,0,0,
122,bus,0.779,1,1290,238,1425,375,,0.0,0,0,0,0,
122,car,0.696,10,1421,321,1514,381,,0.0,0,0,0,0,
122,person,0.861,11,115,238,198,477,,0.0,0,0,0,0,
123,bus,0.776,1,1289,238,1423,375,,0.0,0,0,0,0,
123,car,0.682,10,1424,321,1515,381,,0.0,0,0,0,0,
123,person,0.849,11,114,241,208,478,,0.0,0,0,0,0,
124,bus,0.797,1,1288,238,1421,374,,0.0,0,0,0,0,
124,car,0.731,10,1424,321,1516,382,,0.0,0,0,0,0,
124,person,0.873,11,115,242,214,478,,0.0,0,0,0,0,
124,car,0.469,2,1254,312,1292,349,,0.0,0,0,0,0,
125,bus,0.706,1,1288,238,1419,374,,0.0,0,0,0,0,
125,car,0.741,10,1424,321,1518,382,,0.0,0,0,0,0,
125,person,0.861,11,122,243,218,478,,0.0,0,0,0,0,
125,car,0.43,2,1253,313,1291,348,,0.0,0,0,0,0,
126,bus,0.661,1,1287,239,1417,373,,0.0,0,0,0,0,
126,car,0.737,10,1425,321,1518,383,,0.0,0,0,0,0,
126,person,0.851,11,127,242,222,478,,0.0,0,0,0,0,
126,car,0.448,2,1254,314,1290,348,,0.0,0,0,0,0,
127,bus,0.767,1,1287,240,1416,372,,0.0,0,0,0,0,
127,car,0.746,10,1427,321,1519,383,,0.0,0,0,0,0,
127,person,0.845,11,133,242,226,478,,0.0,0,0,0,0,
127,car,0.419,2,1253,314,1289,348,,0.0,0,0,0,0,
128,bus,0.654,1,1286,241,1414,372,,0.0,0,0,0,0,
